rehearse	リハーサルをする、暗唱（復唱）する
wither	"衰退する、枯れる<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/The+heat"">The heat</a>&nbsp;<a href=""https://ejje.weblio.jp/content/is"">is</a>&nbsp;<a href=""https://ejje.weblio.jp/content/withering"">withering</a>&nbsp;(<a href=""https://ejje.weblio.jp/content/up"">up</a>) the vegetation.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%9A%91%E3%81%95"">暑さ</a>で<a href=""https://ejje.weblio.jp/content/%E6%A4%8D%E7%89%A9"">植物</a>が(<a href=""https://ejje.weblio.jp/content/%E3%81%99%E3%81%A3%E3%81%8B%E3%82%8A"">すっかり</a>)<a href=""https://ejje.weblio.jp/content/%E3%81%97%E3%81%8A%E3%82%8C"">しおれ</a><a href=""https://ejje.weblio.jp/content/%E3%81%A6%E3%81%84%E3%82%8B"">ている</a></span><br></div>"
projection	発射、突出、投影、計画
bolster	"高める、元気付ける、支持する、支え<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">bolster&nbsp;(<a href=""https://ejje.weblio.jp/content/up"">up</a>)&nbsp;<a href=""https://ejje.weblio.jp/content/an"">an</a>&nbsp;<a href=""https://ejje.weblio.jp/content/argument+with"">argument with</a>&nbsp;<a href=""https://ejje.weblio.jp/content/new"">new</a>&nbsp;<a href=""https://ejje.weblio.jp/content/evidence"">evidence</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%96%B0%E3%81%9F%E3%81%AA"">新たな</a><a href=""https://ejje.weblio.jp/content/%E8%A8%BC%E6%8B%A0"">証拠</a>で<a href=""https://ejje.weblio.jp/content/%E8%AB%96"">論</a>を<a href=""https://ejje.weblio.jp/content/%E8%A3%9C%E5%BC%B7%E3%81%99%E3%82%8B"">補強する</a></span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">bolster&nbsp;(<a href=""https://ejje.weblio.jp/content/up"">up</a>) a&nbsp;<a href=""https://ejje.weblio.jp/content/person"">person</a><a href=""https://ejje.weblio.jp/content/%27s"">'s</a>&nbsp;<a href=""https://ejje.weblio.jp/content/spirits"">spirits</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E4%BA%BA%E3%81%AB%E5%85%83%E6%B0%97%E3%82%92%E5%87%BA%E3%81%95%E3%81%9B%E3%82%8B"">人に元気を出させる</a>.</span><br></div>"
blink	"見て見ぬふりをする、まばたきをする、一瞬<div><div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">She&nbsp;<a href=""https://ejje.weblio.jp/content/blinked"">blinked</a>&nbsp;<a href=""https://ejje.weblio.jp/content/in+the"">in the</a>&nbsp;sunlight.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E5%A5%B3%E3%81%AF"">彼女は</a><a href=""https://ejje.weblio.jp/content/%E6%97%A5%E5%85%89"">日光</a>を<a href=""https://ejje.weblio.jp/content/%E6%B5%B4"">浴</a>びて<a href=""https://ejje.weblio.jp/content/%E3%81%BE%E3%81%B0%E3%81%9F%E3%81%8D"">まばたき</a>した.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">You&nbsp;<a href=""https://ejje.weblio.jp/content/cannot"">cannot</a>&nbsp;blink&nbsp;[<a href=""https://ejje.weblio.jp/content/There%27s"">There's</a>&nbsp;<a href=""https://ejje.weblio.jp/content/no"">no</a>&nbsp;<a href=""https://ejje.weblio.jp/content/blinking"">blinking</a>]&nbsp;<a href=""https://ejje.weblio.jp/content/the+fact"">the fact</a>&nbsp;<a href=""https://ejje.weblio.jp/content/that+there"">that there</a>&nbsp;<a href=""https://ejje.weblio.jp/content/is+a"">is a</a>&nbsp;<a href=""https://ejje.weblio.jp/content/war."">war.</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%88%A6%E4%BA%89"">戦争</a>が<a href=""https://ejje.weblio.jp/content/%E8%B5%B7%E3%81%93%E3%81%A3%E3%81%A6%E3%81%84%E3%82%8B"">起こっている</a><a href=""https://ejje.weblio.jp/content/%E3%81%A8%E3%81%84%E3%81%86"">という</a><a href=""https://ejje.weblio.jp/content/%E4%BA%8B%E5%AE%9F%E3%81%AF"">事実は</a><a href=""https://ejje.weblio.jp/content/%E7%84%A1%E8%A6%96%E3%81%99%E3%82%8B"">無視する</a>ことが<a href=""https://ejje.weblio.jp/content/%E3%81%A7%E3%81%8D%E3%81%AA%E3%81%84"">できない</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/in+the"">in the</a>&nbsp;blink&nbsp;<a href=""https://ejje.weblio.jp/content/of+an"">of an</a>&nbsp;<a href=""https://ejje.weblio.jp/content/eye"">eye</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E7%9E%AC%E6%99%82%E3%81%AB"">瞬時に</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div></div></div>"
accrue	"（利子が）つく、生じる<div>accumulateが近いイメージ<br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/Four"">Four</a>‐<a href=""https://ejje.weblio.jp/content/percent"">percent</a>&nbsp;<a href=""https://ejje.weblio.jp/content/interest"">interest</a>&nbsp;will&nbsp;accrue&nbsp;<a href=""https://ejje.weblio.jp/content/on"">on</a>&nbsp;your savings.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%81%82%E3%81%AA%E3%81%9F%E3%81%AE"">あなたの</a><a href=""https://ejje.weblio.jp/content/%E8%B2%AF%E9%87%91"">貯金</a>には 4% の<a href=""https://ejje.weblio.jp/content/%E5%88%A9%E5%AD%90"">利子</a>がつきます.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/Certain"">Certain</a>&nbsp;<a href=""https://ejje.weblio.jp/content/responsibilities"">responsibilities</a>&nbsp;accrue&nbsp;<a href=""https://ejje.weblio.jp/content/to"">to</a>&nbsp;<a href=""https://ejje.weblio.jp/content/us"">us</a>&nbsp;from our&nbsp;<a href=""https://ejje.weblio.jp/content/use+of"">use of</a>&nbsp;<a href=""https://ejje.weblio.jp/content/public"">public</a>&nbsp;facilities.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%85%AC%E5%85%B1%E6%96%BD%E8%A8%AD"">公共施設</a><a href=""https://ejje.weblio.jp/content/%E3%82%92%E5%88%A9%E7%94%A8%E3%81%99%E3%82%8B"">を利用する</a>と<a href=""https://ejje.weblio.jp/content/%E6%88%91%E3%80%85%E3%81%AB"">我々に</a>は<a href=""https://ejje.weblio.jp/content/%E3%81%82%E3%82%8B%E7%A8%AE%E3%81%AE"">ある種の</a><a href=""https://ejje.weblio.jp/content/%E8%B2%AC%E4%BB%BB"">責任</a>が<a href=""https://ejje.weblio.jp/content/%E7%94%9F%E3%81%98%E3%82%8B"">生じる</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div></div>"
premise	前提、（土地・付属物の）家屋、建物
cosmic	宇宙の
insolent	"横柄な、傲慢な、無礼な<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/an"">an</a>&nbsp;insolent&nbsp;<a href=""https://ejje.weblio.jp/content/young+man"">young man</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E7%94%9F%E6%84%8F%E6%B0%97%E3%81%AA"">生意気な</a><a href=""https://ejje.weblio.jp/content/%E9%9D%92%E5%B9%B4"">青年</a></span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He%27s"">He's</a>&nbsp;insolent&nbsp;<a href=""https://ejje.weblio.jp/content/to"">to</a>&nbsp;his customers.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E5%AE%A2"">客</a><a href=""https://ejje.weblio.jp/content/%E3%81%AB%E5%AF%BE%E3%81%97%E3%81%A6"">に対して</a><a href=""https://ejje.weblio.jp/content/%E6%A8%AA%E6%9F%84"">横柄</a>だ.</span><br></div>"
nostalgia	追憶、郷愁
pupil	生徒、弟子、瞳孔
reverie	（目覚めている時の）幻想、夢想
manifestation	"明示、表明<br><div><div>What&nbsp;<a href=""https://ejje.weblio.jp/content/he"">he</a>&nbsp;did was&nbsp;<a href=""https://ejje.weblio.jp/content/nothing+but"">nothing but</a>&nbsp;<a href=""https://ejje.weblio.jp/content/an"">an</a>&nbsp;<a href=""https://ejje.weblio.jp/content/expression"">expression</a>&nbsp;[a&nbsp;<b>manifestation</b>]&nbsp;<a href=""https://ejje.weblio.jp/content/of"">of</a>&nbsp;his&nbsp;<a href=""https://ejje.weblio.jp/content/love+for"">love for</a>&nbsp;his country.</div><div>彼の行動はまさしく国を思う心の発露であった.</div></div>"
abruptly	突然に、不意に
invert	"逆にする、転化する<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">invert&nbsp;<a href=""https://ejje.weblio.jp/content/a+glass"">a glass</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%82%B0%E3%83%A9%E3%82%B9"">グラス</a>を<a href=""https://ejje.weblio.jp/content/%E4%BC%8F%E3%81%9B%E3%82%8B"">伏せる</a>.</span><br></div><div><div><b>invert</b>&nbsp;<a href=""https://ejje.weblio.jp/content/the+order"">the order</a>&nbsp;順序を逆にする</div></div>"
reconcile	"和解させる、調停する、一致させる、reconcile oneselfで甘んじる<div>irreconcilableで対立する、和解・妥協できない<br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">They&nbsp;<a href=""https://ejje.weblio.jp/content/quarreled"">quarreled</a>&nbsp;but were&nbsp;<a href=""https://ejje.weblio.jp/content/soon"">soon</a>&nbsp;reconciled.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%82%89%E3%81%AF"">彼らは</a><a href=""https://ejje.weblio.jp/content/%E3%81%91%E3%82%93%E3%81%8B"">けんか</a>をしたが<a href=""https://ejje.weblio.jp/content/%E3%81%99%E3%81%90%E3%81%AB"">すぐに</a><a href=""https://ejje.weblio.jp/content/%E4%BB%B2%E7%9B%B4%E3%82%8A%E3%81%97%E3%81%9F"">仲直りした</a>.</span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;<a href=""https://ejje.weblio.jp/content/reconciled"">reconciled</a>&nbsp;the&nbsp;<a href=""https://ejje.weblio.jp/content/dispute"">dispute</a>&nbsp;<a href=""https://ejje.weblio.jp/content/among+the"">among the</a>&nbsp;factions.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E5%90%84"">各</a><a href=""https://ejje.weblio.jp/content/%E5%85%9A%E6%B4%BE"">党派</a>の<a href=""https://ejje.weblio.jp/content/%E4%BA%89%E3%81%84"">争い</a>を<a href=""https://ejje.weblio.jp/content/%E8%AA%BF%E5%81%9C"">調停</a>した.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">reconcile&nbsp;<a href=""https://ejje.weblio.jp/content/two"">two</a>&nbsp;<a href=""https://ejje.weblio.jp/content/different"">different</a>&nbsp;<a href=""https://ejje.weblio.jp/content/ideas"">ideas</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E4%BA%8C%E3%81%A4%E3%81%AE"">二つの</a><a href=""https://ejje.weblio.jp/content/%E9%81%95%E3%81%A3%E3%81%9F"">違った</a><a href=""https://ejje.weblio.jp/content/%E8%80%83%E3%81%88"">考え</a><a href=""https://ejje.weblio.jp/content/%E3%82%92%E4%B8%80%E8%87%B4%E3%81%95%E3%81%9B%E3%82%8B"">を一致させる</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><div><div><span style=""font-weight: bold;""><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;<a href=""https://ejje.weblio.jp/content/found"">found</a>&nbsp;<a href=""https://ejje.weblio.jp/content/it"">it</a>&nbsp;<a href=""https://ejje.weblio.jp/content/hard+to"">hard to</a>&nbsp;reconcile&nbsp;<a href=""https://ejje.weblio.jp/content/himself"">himself</a>&nbsp;<a href=""https://ejje.weblio.jp/content/to"">to</a>&nbsp;this&nbsp;<a href=""https://ejje.weblio.jp/content/disagreeable"">disagreeable</a>&nbsp;state.</span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a>この<a href=""https://ejje.weblio.jp/content/%E4%B8%8D%E6%84%89%E5%BF%AB%E3%81%AA"">不愉快な</a><a href=""https://ejje.weblio.jp/content/%E7%8A%B6%E6%85%8B"">状態</a>に<a href=""https://ejje.weblio.jp/content/%E7%94%98%E3%82%93%E3%81%98%E3%81%A6"">甘んじて</a>いくことが<a href=""https://ejje.weblio.jp/content/%E5%9B%B0%E9%9B%A3%E3%81%A0"">困難だ</a>と<a href=""https://ejje.weblio.jp/content/%E7%9F%A5%E3%81%A3%E3%81%9F"">知った</a>.</div></div><div><div><span style=""font-weight: bold;"">I was&nbsp;<a href=""https://ejje.weblio.jp/content/reconciled"">reconciled</a>&nbsp;<a href=""https://ejje.weblio.jp/content/to"">to</a>&nbsp;<a href=""https://ejje.weblio.jp/content/living+in"">living in</a>&nbsp;the country.</span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E3%81%84%E3%81%AA%E3%81%8B"">いなか</a>の<a href=""https://ejje.weblio.jp/content/%E7%94%9F%E6%B4%BB"">生活</a><a href=""https://ejje.weblio.jp/content/%E3%81%AB%E6%BA%80%E8%B6%B3%E3%81%99%E3%82%8B"">に満足する</a><a href=""https://ejje.weblio.jp/content/%E3%82%88%E3%81%86%E3%81%AB"">ように</a>なっていた.</div></div></div><div><img src=""paste-03488b49cd4109a099ce7e68244eff786e6eacdf.jpg""><br></div></div>"
coffin	棺
lucrative	"利益の上がる、儲かる<div>lucreで悪銭、金儲け、利益<br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">a&nbsp;lucrative&nbsp;<a href=""https://ejje.weblio.jp/content/job"">job</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E9%87%91%E3%81%AB%E3%81%AA%E3%82%8B%E4%BB%95%E4%BA%8B"">金になる仕事</a>.</span><br></div><div><div><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;<a href=""https://ejje.weblio.jp/content/always"">always</a>&nbsp;<a href=""https://ejje.weblio.jp/content/keeps"">keeps</a>&nbsp;<b>lucrative</b>&nbsp;<a href=""https://ejje.weblio.jp/content/jobs"">jobs</a>&nbsp;<a href=""https://ejje.weblio.jp/content/to"">to</a>&nbsp;himself. 彼は実入りのいい仕事はいつもひとりで抱え込んでしまう.</div></div></div>"
prosecution	起訴、告発、遂行
endorse	"裏書きをする、支持する<div><div><div><a href=""https://ejje.weblio.jp/content/To"">To</a>&nbsp;<b>endorse</b>&nbsp;<a href=""https://ejje.weblio.jp/content/a+check"">a check</a>&nbsp;<a href=""https://ejje.weblio.jp/content/means+to"">means to</a>&nbsp;<a href=""https://ejje.weblio.jp/content/sign"">sign</a>&nbsp;<a href=""https://ejje.weblio.jp/content/your+name"">your name</a>&nbsp;<a href=""https://ejje.weblio.jp/content/on+the+back+of"">on the back of</a>&nbsp;<a href=""https://ejje.weblio.jp/content/it."">i</a>t 小切手に署名するということは、チェックの裏側に自分の名前のサインをするということだ。</div></div></div><div><div><a href=""https://ejje.weblio.jp/content/In+this"">In this</a>&nbsp;<a href=""https://ejje.weblio.jp/content/light"">light</a>&nbsp;<a href=""https://ejje.weblio.jp/content/we"">we</a>&nbsp;<b>endorse</b>&nbsp;the&nbsp;<a href=""https://ejje.weblio.jp/content/significant"">significant</a>&nbsp;<a href=""https://ejje.weblio.jp/content/progress"">progress</a>&nbsp;<a href=""https://ejje.weblio.jp/content/on"">on</a>&nbsp;<a href=""https://ejje.weblio.jp/content/IMF"">IMF</a>&nbsp;<a href=""https://ejje.weblio.jp/content/reform"">reform</a>: この観点から、IMF 改革に関する顕著な進展を支持。</div></div>"
linguistics	言語学
indecisive	"優柔不断の<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/an"">an</a>&nbsp;indecisive&nbsp;<a href=""https://ejje.weblio.jp/content/answer"">answer</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%81%A9%E3%81%A3%E3%81%A1%E3%81%A4%E3%81%8B%E3%81%9A%E3%81%AE%E8%BF%94%E4%BA%8B"">どっちつかずの返事</a>.</span><br></div>"
conceive	"〜考える、思いつく、（子を）はらむ<br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/It"">It</a>&nbsp;was&nbsp;<a href=""https://ejje.weblio.jp/content/difficult+for+me"">difficult for me</a>&nbsp;<a href=""https://ejje.weblio.jp/content/to"">to</a>&nbsp;conceive&nbsp;<a href=""https://ejje.weblio.jp/content/how+to+deal+with"">how to deal with</a>&nbsp;the problem.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">そ<a href=""https://ejje.weblio.jp/content/%E3%81%AE%E5%95%8F%E9%A1%8C"">の問題</a>をどう<a href=""https://ejje.weblio.jp/content/%E5%87%A6%E7%90%86"">処理</a><a href=""https://ejje.weblio.jp/content/%E3%81%97%E3%81%A6%E3%82%88%E3%81%84"">してよい</a>か<a href=""https://ejje.weblio.jp/content/%E7%A7%81%E3%81%AB%E3%81%AF"">私には</a><a href=""https://ejje.weblio.jp/content/%E3%81%AA%E3%81%8B%E3%81%AA%E3%81%8B"">なかなか</a>わ<a href=""https://ejje.weblio.jp/content/%E3%81%8B%E3%82%89%E3%81%AA"">からな</a><a href=""https://ejje.weblio.jp/content/%E3%81%8B%E3%81%A3%E3%81%9F"">かった</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;<a href=""https://ejje.weblio.jp/content/conceived"">conceived</a>&nbsp;a&nbsp;<a href=""https://ejje.weblio.jp/content/deep+love"">deep love</a>&nbsp;[<a href=""https://ejje.weblio.jp/content/hatred"">hatred</a>] for&nbsp;<a href=""https://ejje.weblio.jp/content/her."">her.</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E5%A5%B3%E3%82%92"">彼女を</a><a href=""https://ejje.weblio.jp/content/%E6%B7%B1%E3%81%8F%E6%84%9B%E3%81%99%E3%82%8B"">深く愛する</a>[<a href=""https://ejje.weblio.jp/content/%E6%86%8E%E3%82%80"">憎む</a>]<a href=""https://ejje.weblio.jp/content/%E3%82%88%E3%81%86%E3%81%AB%E3%81%AA%E3%81%A3%E3%81%9F"">ようになった</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">conceive&nbsp;a&nbsp;<a href=""https://ejje.weblio.jp/content/child"">child</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%AD%90%E3%82%92%E5%AE%BF%E3%81%99"">子を宿す</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
